Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Tagesmittelwerte über 125 µg/m³*;Zahl der Stundenmittelwerte über 350 µg/m³
Sachsen;DESN053;Fichtelberg;ländlich abgelegen;Hintergrund;1,1;0;0
Sachsen-Anhalt;DEST039;Brocken;ländlich abgelegen;Hintergrund;1,1;0;0
Thüringen;DETH027;Neuhaus;ländlich abgelegen;Hintergrund;0,99;0;0
Thüringen;DETH042;Possen;ländlich abgelegen;Hintergrund;0,89;0;0
Thüringen;DETH061;Hummelshain;ländlich abgelegen;Hintergrund;0,96;0;0
Bremen;DEHB013;Bremen-Hasenbüren;ländlich regional;Industrie;1,4;0;0
Brandenburg;DEBB066;Spreewald;ländlich regional;Hintergrund;1,5;0;1
Baden-Württemberg;DEBW031;Schwarzwald-Süd;ländlich regional;Hintergrund;0,33;0;0
Hessen;DEHE060;Kellerwald;ländlich regional;Hintergrund;0,84;0;0
Saarland;DESL019;Biringen;ländlich regional;Hintergrund;1,9;0;0
Sachsen;DESN052;Zinnwald;ländlich regional;Hintergrund;3,4;0;1
Sachsen;DESN074;Schwartenberg;ländlich regional;Hintergrund;2,6;0;1
Sachsen-Anhalt;DEST089;Zartau/Waldstation;ländlich regional;Hintergrund;0,84;0;0
Sachsen-Anhalt;DEST098;Unterharz / Friedrichsbrunn;ländlich regional;Hintergrund;0,94;0;0
UBA;DEUB004;Schauinsland;ländlich regional;Hintergrund;0,32;0;0
UBA;DEUB030;Neuglobsow;ländlich regional;Hintergrund;0,89;0;0
Baden-Württemberg;DEBW004;Eggenstein;ländlich stadtnah;Hintergrund;1,3;0;0
Hessen;DEHE042;Linden;ländliches Gebiet;Hintergrund;1,1;0;0
Hessen;DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;0,82;0;0
Mecklenburg-Vorpommern;DEMV004;Gülzow;ländliches Gebiet;Hintergrund;0,89;0;0
Mecklenburg-Vorpommern;DEMV012;Löcknitz;ländliches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP013;Westpfalz-Waldmohr;ländliches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP014;Hunsrück-Leisel;ländliches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP015;Westeifel Wascheid;ländliches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP016;Westerwald-Herdorf;ländliches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP017;Pfälzerwald-Hortenkopf;ländliches Gebiet;Hintergrund;1,1;0;0
Saarland;DESL001;Berus;ländliches Gebiet;Hintergrund;2,7;0;0
UBA;DEUB001;Westerland;ländliches Gebiet;Hintergrund;0,4;0;0
UBA;DEUB005;Waldhof;ländliches Gebiet;Hintergrund;0,7;0;0
UBA;DEUB028;Zingst;ländliches Gebiet;Hintergrund;0,71;0;0
UBA;DEUB029;Schmücke;ländliches Gebiet;Hintergrund;0,66;0;0
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;1,4;0;0
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;0,94;0;0
Mecklenburg-Vorpommern;DEMV058;Neubrandenburg Woldegker Straße;städtisches Gebiet;Verkehr;1;0;0
Rheinland-Pfalz;DERP020;Trier-Ostallee;städtisches Gebiet;Verkehr;1;0;0
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;städtisches Gebiet;Verkehr;1,7;0;0
Rheinland-Pfalz;DERP024;Koblenz-Friedrich-Ebert-Ring;städtisches Gebiet;Verkehr;1,1;0;0
Sachsen;DESN020;Görlitz;städtisches Gebiet;Verkehr;1,5;0;0
Sachsen;DESN025;Leipzig-Mitte;städtisches Gebiet;Verkehr;1,8;0;0
Sachsen-Anhalt;DEST133;Halle/Riebeckplatz;städtisches Gebiet;Verkehr;1,3;0;0
Hamburg;DEHH015;Hamburg Veddel;städtisches Gebiet;Industrie;5,6;0;0
Hamburg;DEHH016;Hamburg Billbrook;städtisches Gebiet;Industrie;4;0;0
Mecklenburg-Vorpommern;DEMV031;Rostock-Hohe Düne;städtisches Gebiet;Industrie;1,2;0;0
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;städtisches Gebiet;Industrie;6,8;0;0
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;städtisches Gebiet;Industrie;8,7;0;0
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;8,9;0;2
Rheinland-Pfalz;DERP003;Ludwigshafen-Mundenheim;städtisches Gebiet;Industrie;1,3;0;0
Saarland;DESL003;Dillingen City;städtisches Gebiet;Industrie;5,6;0;0
Brandenburg;DEBB021;Potsdam-Zentrum;städtisches Gebiet;Hintergrund;1,5;0;0
Brandenburg;DEBB064;Cottbus;städtisches Gebiet;Hintergrund;1,6;0;0
Bremen;DEHB001;Bremen-Mitte;städtisches Gebiet;Hintergrund;0,79;0;0
Bremen;DEHB002;Bremen-Ost;städtisches Gebiet;Hintergrund;1,1;0;0
Bremen;DEHB004;Bremen-Nord;städtisches Gebiet;Hintergrund;0,92;0;0
Bremen;DEHB005;Bremerhaven-Hansastraße;städtisches Gebiet;Hintergrund;1,2;0;0
Bremen;DEHB012;Bremen-Oslebshausen;städtisches Gebiet;Hintergrund;1,7;0;0
Hessen;DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;0,85;0;0
Hessen;DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;1,3;0;0
Hessen;DEHE011;Hanau;städtisches Gebiet;Hintergrund;0,85;0;0
Hessen;DEHE013;Kassel Mitte;städtisches Gebiet;Hintergrund;0,87;0;0
Hessen;DEHE018;Raunheim;städtisches Gebiet;Hintergrund;0,88;0;0
Hessen;DEHE020;Wetzlar;städtisches Gebiet;Hintergrund;0,92;0;0
Hessen;DEHE022;Wiesbaden Süd;städtisches Gebiet;Hintergrund;0,9;0;0
Hessen;DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;0,94;0;0
Hamburg;DEHH008;Hamburg Sternschanze;städtisches Gebiet;Hintergrund;3,1;0;0
Hamburg;DEHH059;Hamburg Wilhelmsburg;städtisches Gebiet;Hintergrund;3,2;0;0
Hamburg;DEHH079;Hamburg Altona Elbhang;städtisches Gebiet;Hintergrund;3,4;0;0
Hamburg;DEHH081;Hamburg Hafen;städtisches Gebiet;Hintergrund;4,1;0;0
Mecklenburg-Vorpommern;DEMV019;Güstrow;städtisches Gebiet;Hintergrund;0,93;0;0
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;städtisches Gebiet;Hintergrund;0,77;0;0
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;städtisches Gebiet;Hintergrund;3,8;0;0
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;1,3;0;0
Rheinland-Pfalz;DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;städtisches Gebiet;Hintergrund;1,1;0;0
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;städtisches Gebiet;Hintergrund;1,2;0;0
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;städtisches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP022;Bad Kreuznach-Bosenheimer Straße;städtisches Gebiet;Hintergrund;1;0;0
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;städtisches Gebiet;Hintergrund;1,2;0;0
Saarland;DESL012;Saarbrücken-City;städtisches Gebiet;Hintergrund;1,8;0;0
Saarland;DESL017;Völklingen-City Stadionstr.;städtisches Gebiet;Hintergrund;2,3;0;0
Schleswig-Holstein;DESH035;Brunsbüttel-Cuxhavener Straße;städtisches Gebiet;Hintergrund;0,87;0;0
Sachsen;DESN001;Annaberg-Buchholz;städtisches Gebiet;Hintergrund;1,4;0;0
Sachsen;DESN024;Klingenthal;städtisches Gebiet;Hintergrund;0,76;0;0
Sachsen;DESN092;Dresden-Winckelmannstr.;städtisches Gebiet;Hintergrund;2,1;0;0
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;1,5;0;0
Sachsen-Anhalt;DEST028;Zeitz;städtisches Gebiet;Hintergrund;1,7;0;0
Sachsen-Anhalt;DEST077;Magdeburg/West;städtisches Gebiet;Hintergrund;0,99;0;0
Thüringen;DETH009;Gera Friedericistr.;städtisches Gebiet;Hintergrund;0,94;0;0
Thüringen;DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Hintergrund;0,87;0;0
Brandenburg;DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;1,8;0;0
Brandenburg;DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;1,9;0;0
Baden-Württemberg;DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;3,1;0;0
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;2,2;0;0
Sachsen-Anhalt;DEST090;Leuna;vorstädtisches Gebiet;Industrie;2,8;0;0
Baden-Württemberg;DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;1,1;0;0
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;0,94;0;0
Nordrhein-Westfalen;DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;1,7;0;0
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;vorstädtisches Gebiet;Hintergrund;3,1;0;0
Saarland;DESL002;Bexbach Schule;vorstädtisches Gebiet;Hintergrund;2,1;0;0
Saarland;DESL006;Lauterbach;vorstädtisches Gebiet;Hintergrund;2;0;0
Sachsen;DESN045;Zittau-Ost;vorstädtisches Gebiet;Hintergrund;1,8;0;0