"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Stundenmittelwerte über 200 µg/m³*"
Nordrhein-Westfalen;DENW369;"Herne Recklinghauser Straße 4/6";"städtisches Gebiet";Verkehr;35;
Nordrhein-Westfalen;DENW371;Aachen-Haaren;"städtisches Gebiet";Verkehr;29;
Nordrhein-Westfalen;DENW373;"Essen Abteistraße";"städtisches Gebiet";Verkehr;28;
Nordrhein-Westfalen;DENW376;"Duisburg Friedrich-Wilhelm-Straße 25";"städtisches Gebiet";Verkehr;30;
Nordrhein-Westfalen;DENW377;"Duisburg Meiderich Bahnhofstraße";"städtisches Gebiet";Verkehr;31;
Rheinland-Pfalz;DERP010;Mainz-Parcusstraße;"städtisches Gebiet";Verkehr;34;0
Rheinland-Pfalz;DERP011;Mainz-Rheinallee;"städtisches Gebiet";Verkehr;30;0
Rheinland-Pfalz;DERP020;Trier-Ostallee;"städtisches Gebiet";Verkehr;22;0
Rheinland-Pfalz;DERP023;Worms-Hagenstraße;"städtisches Gebiet";Verkehr;22;0
Rheinland-Pfalz;DERP024;Koblenz-Friedrich-Ebert-Ring;"städtisches Gebiet";Verkehr;28;0
Rheinland-Pfalz;DERP026;Frankenthal-Europaring;"städtisches Gebiet";Verkehr;24;0
Rheinland-Pfalz;DERP041;Ludwigshafen-Heinigstraße;"städtisches Gebiet";Verkehr;32;0
Rheinland-Pfalz;DERP045;"Koblenz-Hohenfelder Straße";"städtisches Gebiet";Verkehr;33;0
Rheinland-Pfalz;DERP046;Neuwied-Hermannstraße;"städtisches Gebiet";Verkehr;21;0
Saarland;DESL020;Saarbrücken-Verkehr;"städtisches Gebiet";Verkehr;27;0
Saarland;DESL030;Ottweiler;"städtisches Gebiet";Verkehr;25;0
Schleswig-Holstein;DESH022;Flensburg;"städtisches Gebiet";Verkehr;24;0
Schleswig-Holstein;DESH025;"Itzehoe Lindenstr.";"städtisches Gebiet";Verkehr;27;
Schleswig-Holstein;DESH027;"Kiel-Bahnhofstr. Verk.";"städtisches Gebiet";Verkehr;31;0
Schleswig-Holstein;DESH030;Norderstedt;"städtisches Gebiet";Verkehr;31;0
Schleswig-Holstein;DESH052;Kiel-Theodor-Heuss-Ring;"städtisches Gebiet";Verkehr;34;0
Schleswig-Holstein;DESH053;"Lübeck Moislinger Allee";"städtisches Gebiet";Verkehr;24;0
Schleswig-Holstein;DESH059;Elmshorn-Holstenstraße;"städtisches Gebiet";Verkehr;27;
Schleswig-Holstein;DESH060;Rendsburg-Materialhofstraße;"städtisches Gebiet";Verkehr;30;
Sachsen;DESN006;Borna;"städtisches Gebiet";Verkehr;15;0
Sachsen;DESN020;Görlitz;"städtisches Gebiet";Verkehr;18;0
Sachsen;DESN025;Leipzig-Mitte;"städtisches Gebiet";Verkehr;28;0
Sachsen;DESN061;Dresden-Nord;"städtisches Gebiet";Verkehr;22;0
Sachsen;DESN075;Plauen-Süd;"städtisches Gebiet";Verkehr;17;0
Sachsen;DESN077;"Leipzig Lützner Str.";"städtisches Gebiet";Verkehr;28;0
Sachsen;DESN083;"Chemnitz-Leipziger Str.";"städtisches Gebiet";Verkehr;28;0
Sachsen;DESN084;Dresden-Bergstr.;"städtisches Gebiet";Verkehr;29;0
Sachsen;DESN091;"Zwickau-Werdauer Str.";"städtisches Gebiet";Verkehr;18;0
Sachsen-Anhalt;DEST092;"Wittenberg/Dessauer Strasse";"städtisches Gebiet";Verkehr;21;0
Sachsen-Anhalt;DEST095;Aschersleben;"städtisches Gebiet";Verkehr;20;0
Sachsen-Anhalt;DEST101;Halberstadt/Friedenstrasse;"städtisches Gebiet";Verkehr;24;
Sachsen-Anhalt;DEST102;Halle/Paracelsusstr.;"städtisches Gebiet";Verkehr;31;0
Sachsen-Anhalt;DEST103;"Magdeburg Schleinufer";"städtisches Gebiet";Verkehr;24;0
Sachsen-Anhalt;DEST108;"Weißenfels/Am Krug";"städtisches Gebiet";Verkehr;13;0
Sachsen-Anhalt;DEST112;Magdeburg/Guericke-Stra.;"städtisches Gebiet";Verkehr;20;0
Sachsen-Anhalt;DEST133;Halle/Riebeckplatz;"städtisches Gebiet";Verkehr;18;0
Thüringen;DETH043;"Erfurt Bergstr.";"städtisches Gebiet";Verkehr;23;0
Thüringen;DETH072;"Suhl F.-König-Str";"städtisches Gebiet";Verkehr;19;0
Thüringen;DETH075;"Jena Westbahnhofstr.";"städtisches Gebiet";Verkehr;22;
Thüringen;DETH081;"Erfurt Heinrichstr";"städtisches Gebiet";Verkehr;23;0
Thüringen;DETH083;"Weimar Steubenstr.";"städtisches Gebiet";Verkehr;18;0
Thüringen;DETH091;"Mühlhausen Wanfrieder Str";"städtisches Gebiet";Verkehr;20;0
Thüringen;DETH097;"Gera Str.des Friedens";"städtisches Gebiet";Verkehr;23;
Thüringen;DETH098;"Gera Theaterstr. PS";"städtisches Gebiet";Verkehr;23;
Thüringen;DETH100;"Mühlhausen Petristeinweg";"städtisches Gebiet";Verkehr;25;
Thüringen;DETH101;"Weimar Jenaer Str.";"städtisches Gebiet";Verkehr;25;
Thüringen;DETH102;"Suhl Dr.Th.-Neubauer-Str.";"städtisches Gebiet";Verkehr;24;
Thüringen;DETH128;"Saalfeld Friedens";"städtisches Gebiet";Verkehr;24;
Niedersachsen;DENI175;"Hannover Göttinger Straße, wohngebäudenah";"städtisches Gebiet";Verkehr;28;
Niedersachsen;DENI176;"Hannover Friedrich-Ebert-Straße 33, wohngebäudenah";"städtisches Gebiet";Verkehr;29;
Niedersachsen;DENI178;"Hannover Marienstraße, wohngebäudenah";"städtisches Gebiet";Verkehr;25;
Niedersachsen;DENI179;"Oldenburg Heiligengeistwall, wohngebäudenah";"städtisches Gebiet";Verkehr;26;
Niedersachsen;DENI180;"Osnabrück Neuer Graben, wohngebäudenah";"städtisches Gebiet";Verkehr;36;
Thüringen;DETH131;"Nordhausen Grimmelallee";"städtisches Gebiet";Verkehr;16;
Thüringen;DETH132;"Erfurt Schillerstr.";"städtisches Gebiet";Verkehr;23;
Baden-Württemberg;DEBW235;"Heilbronn Mannheimer Straße";"städtisches Gebiet";Verkehr;28;
Baden-Württemberg;DEBW236;"Heilbronn Speyerer Straße";"städtisches Gebiet";Verkehr;22;
Baden-Württemberg;DEBW237;"Heilbronn Südstraße 2";"städtisches Gebiet";Verkehr;23;
Baden-Württemberg;DEBW238;"Heilbronn Südstraße 33";"städtisches Gebiet";Verkehr;28;
Baden-Württemberg;DEBW239;"Heilbronn Wilhelmstraße";"städtisches Gebiet";Verkehr;26;
Baden-Württemberg;DEBW240;"Heilbronn Wollhausstraße";"städtisches Gebiet";Verkehr;25;
Baden-Württemberg;DEBW241;"Ludwigsburg Schlossstraße";"städtisches Gebiet";Verkehr;47;
Baden-Württemberg;DEBW242;"Stuttgart Pragstraße";"städtisches Gebiet";Verkehr;43;
Baden-Württemberg;DEBW243;"Stuttgart Talstraße";"städtisches Gebiet";Verkehr;41;
Hessen;DEHE152;"Alsfeld III";"städtisches Gebiet";Verkehr;20;
Hamburg;DEHH015;"Hamburg Veddel";"städtisches Gebiet";Industrie;25;0
Hamburg;DEHH016;"Hamburg Billbrook";"städtisches Gebiet";Industrie;18;0
Mecklenburg-Vorpommern;DEMV031;"Rostock-Hohe Düne";"städtisches Gebiet";Industrie;16;0
Nordrhein-Westfalen;DENW021;Bottrop-Welheim;"städtisches Gebiet";Industrie;21;0
Nordrhein-Westfalen;DENW034;Duisburg-Walsum;"städtisches Gebiet";Industrie;22;0
Nordrhein-Westfalen;DENW181;Warstein;"städtisches Gebiet";Industrie;8;0
Nordrhein-Westfalen;DENW338;Duisburg-Bruckhausen;"städtisches Gebiet";Industrie;28;0
Rheinland-Pfalz;DERP003;Ludwigshafen-Mundenheim;"städtisches Gebiet";Industrie;24;0
Saarland;DESL003;"Dillingen City";"städtisches Gebiet";Industrie;15;0
Brandenburg;DEBB021;Potsdam-Zentrum;"städtisches Gebiet";Hintergrund;13;0
Brandenburg;DEBB064;Cottbus;"städtisches Gebiet";Hintergrund;11;0
Brandenburg;DEBB109;Luckenwalde;"städtisches Gebiet";Hintergrund;12;0
Berlin;DEBE010;"Berlin Wedding";"städtisches Gebiet";Hintergrund;22;0
Berlin;DEBE018;"Berlin Schöneberg";"städtisches Gebiet";Hintergrund;18;0
Berlin;DEBE034;"Berlin Neukölln";"städtisches Gebiet";Hintergrund;20;0
Berlin;DEBE066;"Berlin Karlshorst";"städtisches Gebiet";Hintergrund;16;0
Berlin;DEBE068;"Berlin Mitte";"städtisches Gebiet";Hintergrund;18;0
Baden-Württemberg;DEBW009;Heidelberg;"städtisches Gebiet";Hintergrund;18;0
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"städtisches Gebiet";Hintergrund;23;0
Baden-Württemberg;DEBW015;Heilbronn;"städtisches Gebiet";Hintergrund;21;0
Baden-Württemberg;DEBW019;Ulm;"städtisches Gebiet";Hintergrund;21;0
Baden-Württemberg;DEBW027;Reutlingen;"städtisches Gebiet";Hintergrund;20;0
Baden-Württemberg;DEBW033;Pforzheim;"städtisches Gebiet";Hintergrund;23;0
Baden-Württemberg;DEBW038;Friedrichshafen;"städtisches Gebiet";Hintergrund;19;0
Baden-Württemberg;DEBW052;Konstanz;"städtisches Gebiet";Hintergrund;17;0
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"städtisches Gebiet";Hintergrund;17;0
Baden-Württemberg;DEBW084;Freiburg;"städtisches Gebiet";Hintergrund;14;0
Bayern;DEBY007;Augsburg/Bourges-Platz;"städtisches Gebiet";Hintergrund;21;0
Bayern;DEBY009;Bamberg/Löwenbrücke;"städtisches Gebiet";Hintergrund;18;0
Bayern;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"städtisches Gebiet";Hintergrund;17;0
Bayern;DEBY039;München/Lothstraße;"städtisches Gebiet";Hintergrund;23;0
Bayern;DEBY052;Neu-Ulm/Gabelsbergerstraße;"städtisches Gebiet";Hintergrund;23;0
Bayern;DEBY058;Nürnberg/Muggenhof;"städtisches Gebiet";Hintergrund;23;0
Bayern;DEBY068;Schweinfurt/Obertor;"städtisches Gebiet";Hintergrund;19;0
Bayern;DEBY075;"Weiden i.d.OPf./Nikolaistraße";"städtisches Gebiet";Hintergrund;20;0
Bayern;DEBY079;"Bad Reichenhall/Kirchholzstraße";"städtisches Gebiet";Hintergrund;9;0
Bayern;DEBY118;Passau/Stelzhamerstraße;"städtisches Gebiet";Hintergrund;23;0
Bayern;DEBY188;Schwabach/Angerstraße;"städtisches Gebiet";Hintergrund;18;0
Bremen;DEHB001;Bremen-Mitte;"städtisches Gebiet";Hintergrund;18;0
Bremen;DEHB002;Bremen-Ost;"städtisches Gebiet";Hintergrund;16;0
Bremen;DEHB004;Bremen-Nord;"städtisches Gebiet";Hintergrund;15;0
Bremen;DEHB005;Bremerhaven-Hansastraße;"städtisches Gebiet";Hintergrund;17;0
Bremen;DEHB012;Bremen-Oslebshausen;"städtisches Gebiet";Hintergrund;18;0
Hessen;DEHE001;Darmstadt;"städtisches Gebiet";Hintergrund;17;0
Hessen;DEHE005;Frankfurt-Höchst;"städtisches Gebiet";Hintergrund;30;0
Hessen;DEHE008;"Frankfurt Ost";"städtisches Gebiet";Hintergrund;25;0
Hessen;DEHE011;Hanau;"städtisches Gebiet";Hintergrund;22;0
Hessen;DEHE013;"Kassel Mitte";"städtisches Gebiet";Hintergrund;16;0
Hessen;DEHE018;Raunheim;"städtisches Gebiet";Hintergrund;22;0
Hessen;DEHE020;Wetzlar;"städtisches Gebiet";Hintergrund;24;0
Hessen;DEHE022;"Wiesbaden Süd";"städtisches Gebiet";Hintergrund;22;0
Hessen;DEHE030;Marburg;"städtisches Gebiet";Hintergrund;19;0
Hessen;DEHE032;Bebra;"städtisches Gebiet";Hintergrund;12;0
Hessen;DEHE044;Limburg;"städtisches Gebiet";Hintergrund;20;0
Hessen;DEHE045;Michelstadt;"städtisches Gebiet";Hintergrund;14;0
Hessen;DEHE105;"Wetzlar Linsenbergstraße";"städtisches Gebiet";Hintergrund;17;
Hessen;DEHE134;"Fulda Zentral";"städtisches Gebiet";Hintergrund;17;0
Hessen;DEHE137;"Gießen Johannette-Lein-Gasse";"städtisches Gebiet";Hintergrund;20;
Hessen;DEHE141;"Frankfurt Römerberg";"städtisches Gebiet";Hintergrund;22;
Hessen;DEHE145;"Frankfurt Riederwald";"städtisches Gebiet";Hintergrund;20;
Hamburg;DEHH008;"Hamburg Sternschanze";"städtisches Gebiet";Hintergrund;20;0
Hamburg;DEHH059;"Hamburg Wilhelmsburg";"städtisches Gebiet";Hintergrund;20;0
Hamburg;DEHH079;"Hamburg Altona Elbhang";"städtisches Gebiet";Hintergrund;25;0
Hamburg;DEHH081;"Hamburg Hafen";"städtisches Gebiet";Hintergrund;27;0
Mecklenburg-Vorpommern;DEMV019;Güstrow;"städtisches Gebiet";Hintergrund;7;0
Mecklenburg-Vorpommern;DEMV021;Rostock-Warnemünde;"städtisches Gebiet";Hintergrund;11;0
Niedersachsen;DENI038;Osnabrück;"städtisches Gebiet";Hintergrund;14;0
Niedersachsen;DENI054;Hannover;"städtisches Gebiet";Hintergrund;13;0
Nordrhein-Westfalen;DENW008;Dortmund-Eving;"städtisches Gebiet";Hintergrund;20;0
Nordrhein-Westfalen;DENW024;Essen-Vogelheim;"städtisches Gebiet";Hintergrund;21;0
Nordrhein-Westfalen;DENW038;Mülheim-Styrum;"städtisches Gebiet";Hintergrund;18;0
Nordrhein-Westfalen;DENW053;Köln-Chorweiler;"städtisches Gebiet";Hintergrund;20;0
Nordrhein-Westfalen;DENW067;Bielefeld-Ost;"städtisches Gebiet";Hintergrund;17;0
Nordrhein-Westfalen;DENW071;Düsseldorf-Lörick;"städtisches Gebiet";Hintergrund;19;0
Nordrhein-Westfalen;DENW094;Aachen-Burtscheid;"städtisches Gebiet";Hintergrund;9;0
Nordrhein-Westfalen;DENW095;Münster-Geist;"städtisches Gebiet";Hintergrund;16;0
Nordrhein-Westfalen;DENW114;Wuppertal-Langerfeld;"städtisches Gebiet";Hintergrund;17;0
Nordrhein-Westfalen;DENW179;Schwerte;"städtisches Gebiet";Hintergrund;16;0
Rheinland-Pfalz;DERP001;Ludwigshafen-Oppau;"städtisches Gebiet";Hintergrund;18;0
Rheinland-Pfalz;DERP007;Mainz-Mombach;"städtisches Gebiet";Hintergrund;17;0
Rheinland-Pfalz;DERP009;Mainz-Zitadelle;"städtisches Gebiet";Hintergrund;24;0
Rheinland-Pfalz;DERP019;Kaiserslautern-Rathausplatz;"städtisches Gebiet";Hintergrund;17;0
Rheinland-Pfalz;DERP021;Neuwied-Hafenstraße;"städtisches Gebiet";Hintergrund;18;0
Rheinland-Pfalz;DERP022;"Bad Kreuznach-Bosenheimer Straße";"städtisches Gebiet";Hintergrund;19;0
Rheinland-Pfalz;DERP025;Wörth-Marktplatz;"städtisches Gebiet";Hintergrund;14;0
Rheinland-Pfalz;DERP060;Pirmasens-Innenstadt;"städtisches Gebiet";Hintergrund;12;0
Rheinland-Pfalz;DERP063;Koblenz-Rheinanlagen;"städtisches Gebiet";Hintergrund;20;
Saarland;DESL010;Saarbrücken-Burbach;"städtisches Gebiet";Hintergrund;18;0
Saarland;DESL011;Saarbrücken-Eschberg;"städtisches Gebiet";Hintergrund;11;0
Saarland;DESL012;Saarbrücken-City;"städtisches Gebiet";Hintergrund;23;0
Saarland;DESL017;"Völklingen-City Stadionstr.";"städtisches Gebiet";Hintergrund;15;0
Schleswig-Holstein;DESH023;"Lübeck-St. Jürgen";"städtisches Gebiet";Hintergrund;10;0
Schleswig-Holstein;DESH035;"Brunsbüttel-Cuxhavener Straße";"städtisches Gebiet";Hintergrund;20;0
Schleswig-Holstein;DESH057;Kiel-Bremerskamp;"städtisches Gebiet";Hintergrund;12;0
Schleswig-Holstein;DESH058;Lauenburg-Murjahnstraße;"städtisches Gebiet";Hintergrund;9;0
Sachsen;DESN001;Annaberg-Buchholz;"städtisches Gebiet";Hintergrund;16;0
Sachsen;DESN004;Bautzen;"städtisches Gebiet";Hintergrund;13;0
Sachsen;DESN017;Freiberg;"städtisches Gebiet";Hintergrund;19;0
Sachsen;DESN019;Glauchau;"städtisches Gebiet";Hintergrund;15;0
Sachsen;DESN024;Klingenthal;"städtisches Gebiet";Hintergrund;9;0
Sachsen;DESN092;Dresden-Winckelmannstr.;"städtisches Gebiet";Hintergrund;15;0
Sachsen;DESN104;"Chemnitz Hans-Link-Straße";"städtisches Gebiet";Hintergrund;10;0
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;"städtisches Gebiet";Hintergrund;10;0
Sachsen-Anhalt;DEST044;Halberstadt;"städtisches Gebiet";Hintergrund;10;0
Sachsen-Anhalt;DEST050;Halle/Nord;"städtisches Gebiet";Hintergrund;14;0
Sachsen-Anhalt;DEST066;Wittenberg/Bahnstrasse;"städtisches Gebiet";Hintergrund;9;0
Sachsen-Anhalt;DEST077;Magdeburg/West;"städtisches Gebiet";Hintergrund;14;0
Sachsen-Anhalt;DEST105;"Stendal Stadtsee";"städtisches Gebiet";Hintergrund;9;0
Thüringen;DETH005;Saalfeld;"städtisches Gebiet";Hintergrund;12;0
Thüringen;DETH009;"Gera Friedericistr.";"städtisches Gebiet";Hintergrund;14;0
Thüringen;DETH011;"Altenburg Theaterplatz";"städtisches Gebiet";Hintergrund;13;0
Thüringen;DETH013;"Eisenach Werneburgstr.";"städtisches Gebiet";Hintergrund;11;0
Thüringen;DETH018;Nordhausen;"städtisches Gebiet";Hintergrund;14;0
Thüringen;DETH020;"Erfurt Krämpferstr.";"städtisches Gebiet";Hintergrund;16;0
Thüringen;DETH036;"Greiz Mollbergstr.";"städtisches Gebiet";Hintergrund;12;0
Thüringen;DETH041;"Jena Dammstr.";"städtisches Gebiet";Hintergrund;13;0
Thüringen;DETH093;"Weimar Schwanseestr.";"städtisches Gebiet";Hintergrund;13;0
Thüringen;DETH095;"Mühlhausen Bastmarkt";"städtisches Gebiet";Hintergrund;11;0
Baden-Württemberg;DEBW125;"Pfinztal Karlsruher Straße";"vorstädtisches Gebiet";Verkehr;27;0
Baden-Württemberg;DEBW128;"Mühlacker Stuttgarter Straße";"vorstädtisches Gebiet";Verkehr;32;
Baden-Württemberg;DEBW213;"Balingen Schömberger Straße";"vorstädtisches Gebiet";Verkehr;23;
Nordrhein-Westfalen;DENW297;"Köln-Meschenich Brühler Landstraße";"vorstädtisches Gebiet";Verkehr;26;
Nordrhein-Westfalen;DENW305;"Mülheim Kölner Straße (B1)";"vorstädtisches Gebiet";Verkehr;24;
Baden-Württemberg;DEBW234;"Heilbronn Frankenbacher Straße";"vorstädtisches Gebiet";Verkehr;29;
Brandenburg;DEBB029;"Schwedt (Oder)";"vorstädtisches Gebiet";Industrie;9;0
Brandenburg;DEBB032;Eisenhüttenstadt;"vorstädtisches Gebiet";Industrie;10;0
Baden-Württemberg;DEBW005;Mannheim-Nord;"vorstädtisches Gebiet";Industrie;20;0
Baden-Württemberg;DEBW022;Kehl;"vorstädtisches Gebiet";Industrie;18;0
Niedersachsen;DENI053;Südoldenburg;"vorstädtisches Gebiet";Industrie;11;0
Nordrhein-Westfalen;DENW058;Hürth;"vorstädtisches Gebiet";Industrie;16;0
Nordrhein-Westfalen;DENW116;"Krefeld (Hafen)";"vorstädtisches Gebiet";Industrie;24;0
Rheinland-Pfalz;DERP047;Trier-Pfalzel;"vorstädtisches Gebiet";Industrie;14;0
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;"vorstädtisches Gebiet";Industrie;12;0
Sachsen-Anhalt;DEST090;Leuna;"vorstädtisches Gebiet";Industrie;11;0
Brandenburg;DEBB007;"Elsterwerda, 1992-2020";"vorstädtisches Gebiet";Hintergrund;11;0
Brandenburg;DEBB048;Neuruppin;"vorstädtisches Gebiet";Hintergrund;11;0
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;11;0
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;8;0
Brandenburg;DEBB067;Nauen;"vorstädtisches Gebiet";Hintergrund;11;0
Brandenburg;DEBB075;"Potsdam, Groß Glienicke";"vorstädtisches Gebiet";Hintergrund;10;0
Brandenburg;DEBB083;Spremberg;"vorstädtisches Gebiet";Hintergrund;9;0
Brandenburg;DEBB086;Blankenfelde-Mahlow;"vorstädtisches Gebiet";Hintergrund;13;0
Brandenburg;DEBB092;"Frankfurt (Oder)";"vorstädtisches Gebiet";Hintergrund;11;0
Berlin;DEBE051;"Berlin Buch";"vorstädtisches Gebiet";Hintergrund;12;0
Baden-Württemberg;DEBW010;Wiesloch;"vorstädtisches Gebiet";Hintergrund;15;0
Baden-Württemberg;DEBW023;"Weil am Rhein";"vorstädtisches Gebiet";Hintergrund;14;0
Baden-Württemberg;DEBW024;Ludwigsburg;"vorstädtisches Gebiet";Hintergrund;19;0
Baden-Württemberg;DEBW029;Aalen;"vorstädtisches Gebiet";Hintergrund;20;0
Baden-Württemberg;DEBW039;Villingen-Schwenningen;"vorstädtisches Gebiet";Hintergrund;12;0
Baden-Württemberg;DEBW042;Bernhausen;"vorstädtisches Gebiet";Hintergrund;20;0
Baden-Württemberg;DEBW046;Biberach;"vorstädtisches Gebiet";Hintergrund;14;0
Baden-Württemberg;DEBW059;Tauberbischofsheim;"vorstädtisches Gebiet";Hintergrund;12;0
Baden-Württemberg;DEBW073;Neuenburg;"vorstädtisches Gebiet";Hintergrund;15;0
Baden-Württemberg;DEBW076;Baden-Baden;"vorstädtisches Gebiet";Hintergrund;14;0
Baden-Württemberg;DEBW107;Tübingen;"vorstädtisches Gebiet";Hintergrund;17;0
Baden-Württemberg;DEBW112;Gärtringen;"vorstädtisches Gebiet";Hintergrund;11;0
Bayern;DEBY004;"Kleinwallstadt/Hofstetter Straße";"vorstädtisches Gebiet";Hintergrund;12;0
Bayern;DEBY005;Aschaffenburg/Bussardweg;"vorstädtisches Gebiet";Hintergrund;21;0
Bayern;DEBY012;"Burghausen/Marktler Straße";"vorstädtisches Gebiet";Hintergrund;18;0
Bayern;DEBY020;Hof/LfU;"vorstädtisches Gebiet";Hintergrund;13;0
Bayern;DEBY030;"Saal a.d. Donau/Regensburger Straße";"vorstädtisches Gebiet";Hintergrund;15;0
Bayern;DEBY031;"Kempten (Allgäu)/Westendstraße";"vorstädtisches Gebiet";Hintergrund;17;0
Bayern;DEBY067;"Schwandorf/Wackersdorfer Straße";"vorstädtisches Gebiet";Hintergrund;15;0
Bayern;DEBY088;Trostberg/Schwimmbadstraße;"vorstädtisches Gebiet";Hintergrund;15;0
Bayern;DEBY089;München/Johanneskirchen;"vorstädtisches Gebiet";Hintergrund;17;0
Bayern;DEBY099;Augsburg/LfU;"vorstädtisches Gebiet";Hintergrund;15;0
Bayern;DEBY113;Erlangen/Kraepelinstraße;"vorstädtisches Gebiet";Hintergrund;14;0
Bayern;DEBY187;Oettingen/Goethestraße;"vorstädtisches Gebiet";Hintergrund;14;0
Bayern;DEBY189;München/Allach;"vorstädtisches Gebiet";Hintergrund;19;0
Hamburg;DEHH047;"Hamburg Bramfeld";"vorstädtisches Gebiet";Hintergrund;12;0
Hamburg;DEHH050;"Hamburg Neugraben";"vorstädtisches Gebiet";Hintergrund;11;0
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;"vorstädtisches Gebiet";Hintergrund;9;0
Niedersachsen;DENI011;Braunschweig;"vorstädtisches Gebiet";Hintergrund;11;0
Niedersachsen;DENI016;Oker/Harlingerode;"vorstädtisches Gebiet";Hintergrund;8;0
Niedersachsen;DENI020;Wolfsburg;"vorstädtisches Gebiet";Hintergrund;13;0
Niedersachsen;DENI028;Eichsfeld;"vorstädtisches Gebiet";Hintergrund;8;0
Niedersachsen;DENI029;Ostfriesland;"vorstädtisches Gebiet";Hintergrund;13;0
Niedersachsen;DENI041;Weserbergland;"vorstädtisches Gebiet";Hintergrund;10;0
Niedersachsen;DENI042;Göttingen;"vorstädtisches Gebiet";Hintergrund;11;0
Niedersachsen;DENI043;Emsland;"vorstädtisches Gebiet";Hintergrund;13;0
Niedersachsen;DENI052;Allertal;"vorstädtisches Gebiet";Hintergrund;9;0
Niedersachsen;DENI062;"Lüneburger Heide";"vorstädtisches Gebiet";Hintergrund;12;0
Nordrhein-Westfalen;DENW002;Datteln-Hagem;"vorstädtisches Gebiet";Hintergrund;16;0
Nordrhein-Westfalen;DENW006;Lünen-Niederaden;"vorstädtisches Gebiet";Hintergrund;18;0
Nordrhein-Westfalen;DENW010;Unna-Königsborn;"vorstädtisches Gebiet";Hintergrund;16;0
Nordrhein-Westfalen;DENW022;Gelsenkirchen-Bismarck;"vorstädtisches Gebiet";Hintergrund;20;0
Nordrhein-Westfalen;DENW029;Hattingen-Blankenstein;"vorstädtisches Gebiet";Hintergrund;14;0
Nordrhein-Westfalen;DENW059;Köln-Rodenkirchen;"vorstädtisches Gebiet";Hintergrund;22;0
Nordrhein-Westfalen;DENW062;Bonn-Auerberg;"vorstädtisches Gebiet";Hintergrund;21;0
Nordrhein-Westfalen;DENW078;Ratingen-Tiefenbroich;"vorstädtisches Gebiet";Hintergrund;20;0
Nordrhein-Westfalen;DENW079;Leverkusen-Manfort;"vorstädtisches Gebiet";Hintergrund;19;0
Nordrhein-Westfalen;DENW080;Solingen-Wald;"vorstädtisches Gebiet";Hintergrund;16;0
Nordrhein-Westfalen;DENW096;Mönchengladbach-Rheydt;"vorstädtisches Gebiet";Hintergrund;18;0
Nordrhein-Westfalen;DENW247;"Essen-Schuir (LANUV)";"vorstädtisches Gebiet";Hintergrund;23;0
Rheinland-Pfalz;DERP053;Speyer-Nord;"vorstädtisches Gebiet";Hintergrund;23;0
Saarland;DESL013;Saarlouis-Fraulautern;"vorstädtisches Gebiet";Hintergrund;16;0
Sachsen;DESN045;Zittau-Ost;"vorstädtisches Gebiet";Hintergrund;10;0
Sachsen;DESN059;Leipzig-West;"vorstädtisches Gebiet";Hintergrund;12;0
Sachsen-Anhalt;DEST002;Burg;"vorstädtisches Gebiet";Hintergrund;9;0
Sachsen-Anhalt;DEST029;Bernburg;"vorstädtisches Gebiet";Hintergrund;14;0
Thüringen;DETH117;"Erfurt Bautzener Weg";"vorstädtisches Gebiet";Hintergrund;13;0